lang,page_title,url,wiki_link
da,Dan Koehl,https://www.regeringen.se/4963ca/contentassets/3641df8152a34e38b70fbbd064957466/sveriges-akvarieforeningars-riksforbund.pdf,https://da.wikipedia.org/wiki/Dan_Koehl
da,"Konventionen om Oprindelige Folk og Stammefolk, 1989",http://www.regeringen.se/sb/d/108/a/12151,"https://da.wikipedia.org/wiki/Konventionen_om_Oprindelige_Folk_og_Stammefolk,_1989"
da,Else Marie Friis,https://www.regeringen.se/pressmeddelanden/2015/04/else-marie-friis-tilldelas-kungl.-nordstjarneorden/,https://da.wikipedia.org/wiki/Else_Marie_Friis
da,Ylva Johansson,https://www.regeringen.se/sveriges-regering/arbetsmarknadsdepartementet/ylva-johansson/cv-ylva-johansson/,https://da.wikipedia.org/wiki/Ylva_Johansson
da,Magdalena Andersson,https://www.regeringen.se/pressmeddelanden/2021/11/halltider-for-regeringsskiftet-30-november/,https://da.wikipedia.org/wiki/Magdalena_Andersson
da,Sverige,http://www.regeringen.se/sb/d/17497/a/215515,https://da.wikipedia.org/wiki/Sverige
da,Morgan Johansson,http://www.regeringen.se/artiklar/2015/11/regeringen-foreslar-atgarder-for-att-skapa-andrum-for-svenskt-flyktingmottagande/,https://da.wikipedia.org/wiki/Morgan_Johansson
da,Karl-Petter Thorwaldsson,https://www.regeringen.se/sveriges-regering/naringsdepartementet/karl-petter-thorwaldsson/,https://da.wikipedia.org/wiki/Karl-Petter_Thorwaldsson
da,Per Bolund,https://www.regeringen.se/sveriges-regering/finansdepartementet/per-bolund/cv-per-bolund/,https://da.wikipedia.org/wiki/Per_Bolund
da,Märta Stenevi,https://www.regeringen.se/49661b/contentassets/b07acbf1807c4a9895031395c46e59e3/cv-marta-stenevi.pdf,https://da.wikipedia.org/wiki/Märta_Stenevi
da,Forsvarsdepartementet (Sverige),https://regeringen.se/sveriges-regering/forsvarsdepartementet/,https://da.wikipedia.org/wiki/Forsvarsdepartementet_(Sverige)
da,Kulturdepartementet (Sverige),https://www.regeringen.se/sveriges-regering/kulturdepartementet/,https://da.wikipedia.org/wiki/Kulturdepartementet_(Sverige)
da,Utrikesdepartementet,https://www.regeringen.se/sveriges-regering/utrikesdepartementet/,https://da.wikipedia.org/wiki/Utrikesdepartementet
da,Regeringen Kristersson,https://www.regeringen.se/pressmeddelanden/2022/10/sveriges-nya-regering/,https://da.wikipedia.org/wiki/Regeringen_Kristersson
da,Bruger:Palnatoke/Autolister/Riksdagsledamöter,https://www.regeringen.se/sveriges-regering/naringsdepartementet/anna-caren-satherberg/,https://da.wikipedia.org/wiki/Bruger:Palnatoke/Autolister/Riksdagsledamöter
da,Bruger:Palnatoke/Autolister/Riksdagsledamöter,https://www.regeringen.se/sveriges-regering/finansdepartementet/ida-karkiainen/,https://da.wikipedia.org/wiki/Bruger:Palnatoke/Autolister/Riksdagsledamöter
da,Bruger:Holger Terp2/Fredsbevægelse,https://www.regeringen.se/rattsliga-dokument/statens-offentliga-utredningar/2002/01/sou-200290/,https://da.wikipedia.org/wiki/Bruger:Holger_Terp2/Fredsbevægelse
da,Palmemordet,https://www.regeringen.se/rattsliga-dokument/statens-offentliga-utredningar/1999/01/sou-199988--/,https://da.wikipedia.org/wiki/Palmemordet
da,Ljubljana-Haag-konventionen,https://www.regeringen.se/pressmeddelanden/2024/02/sverige-undertecknar-ny-konvention-om-internationellt-straffrattsligt-samarbete/,https://da.wikipedia.org/wiki/Ljubljana-Haag-konventionen
da,Bankkajen,http://www.regeringen.se/content/1/c4/29/88/8f2dd7b4.pdf,https://da.wikipedia.org/wiki/Bankkajen
da,Børnehaveklasse,https://www.regeringen.se/pressmeddelanden/2025/01/regeringen-tar-nasta-steg-i-att-infora-en-tioarig-grundskola--sa-ser-forslaget-ut/,https://da.wikipedia.org/wiki/Børnehaveklasse
da,Ken Howery,https://www.regeringen.se/pressmeddelanden/2019/11/nya-ambassadorer-till-sverige2/,https://da.wikipedia.org/wiki/Ken_Howery
de,Benutzer Diskussion:LA2,http://www.regeringen.se/content/1/c6/04/11/46/d59b530b.pdf,https://de.wikipedia.org/wiki/Benutzer_Diskussion:LA2
de,Leni Björklund,http://www.regeringen.se/sb/d/1201,https://de.wikipedia.org/wiki/Leni_Björklund
de,Diskussion:Liste der Gemeinden in Schweden,http://www.regeringen.se/sb/d/8114/a/77817;jsessionid=ayUpz34ONzhb,https://de.wikipedia.org/wiki/Diskussion:Liste_der_Gemeinden_in_Schweden
de,Peter Norman (Ökonom),http://regeringen.se/sb/d/13478,https://de.wikipedia.org/wiki/Peter_Norman_(Ökonom)
de,Portal Diskussion:Schweden/Archiv/Alt,http://www.regeringen.se/content/1/c6/04/11/46/d59b530b.pdf,https://de.wikipedia.org/wiki/Portal_Diskussion:Schweden/Archiv/Alt
de,Mikael Odenberg,http://www.regeringen.se/sb/d/7372/a/70274,https://de.wikipedia.org/wiki/Mikael_Odenberg
de,Diskussion:Roxette/Diskografie,http://www.regeringen.se/sb/d/13763/a/160366,https://de.wikipedia.org/wiki/Diskussion:Roxette/Diskografie
de,Maria Arnholm,http://regeringen.se/sb/d/17098/a/207554,https://de.wikipedia.org/wiki/Maria_Arnholm
de,Schwedenfinnen,http://www.regeringen.se/sb/d/108/a/44987,https://de.wikipedia.org/wiki/Schwedenfinnen
de,Vorlage Diskussion:Navigationsleiste Provinzen Schwedens,http://www.regeringen.se/content/1/c6/04/11/46/d59b530b.pdf,https://de.wikipedia.org/wiki/Vorlage_Diskussion:Navigationsleiste_Provinzen_Schwedens
de,Peter Norman (Ökonom),http://regeringen.se/sb/d/13478/a/153946,https://de.wikipedia.org/wiki/Peter_Norman_(Ökonom)
de,Tobias Billström,http://regeringen.se/sb/d/7385/a/70291,https://de.wikipedia.org/wiki/Tobias_Billström
de,Malung-Sälen,http://www.regeringen.se/sb/d/8114/a/77817;jsessionid=ayUpz34ONzhb,https://de.wikipedia.org/wiki/Malung-Sälen
de,Diskussion:Roslagsbanan,http://www.regeringen.se/sb/d/10685/a/106783,https://de.wikipedia.org/wiki/Diskussion:Roslagsbanan
de,Regierung Reinfeldt,http://regeringen.se/sb/d/7413/a/138383,https://de.wikipedia.org/wiki/Regierung_Reinfeldt
de,Benutzer Diskussion:Konrad B~dewiki,http://www.regeringen.se/content/1/c6/04/11/46/d59b530b.pdf,https://de.wikipedia.org/wiki/Benutzer_Diskussion:Konrad_B~dewiki
de,Maria Larsson (Politikerin),http://www.regeringen.se/sb/d/7484,https://de.wikipedia.org/wiki/Maria_Larsson_(Politikerin)
de,Regierung Reinfeldt,http://www.regeringen.se/sb/d/14147/a/176678,https://de.wikipedia.org/wiki/Regierung_Reinfeldt
de,Regierung Reinfeldt,http://www.regeringen.se/,https://de.wikipedia.org/wiki/Regierung_Reinfeldt
de,Sida (Schweden),http://www.regeringen.se/sb/d/13350/a/149082,https://de.wikipedia.org/wiki/Sida_(Schweden)
de,Portal Diskussion:Schweden/Archiv/2008,http://www.regeringen.se/sb/d/108/a/41146,https://de.wikipedia.org/wiki/Portal_Diskussion:Schweden/Archiv/2008
de,Verteidigungsministerium,http://www.regeringen.se/sb/d/495,https://de.wikipedia.org/wiki/Verteidigungsministerium
de,Beatrice Ask,http://www.regeringen.se/sb/d/385,https://de.wikipedia.org/wiki/Beatrice_Ask
