lang,page_title,url,wiki_link,status,reason,ia_url,ia_status
en,Gripsholms hjorthage,http://nvpub.vic-metria.nu/handlingar/rest/dokument/284871,https://en.wikipedia.org/wiki/Gripsholms_hjorthage,error,"HTTPConnectionPool(host='nvpub.vic-metria.nu', port=80): Max retries exceeded with url: /handlingar/rest/dokument/284871 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x146cb7920>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",,skipped
en,Gripsholms hjorthage,http://nvpub.vic-metria.nu/handlingar/rest/dokument/146835,https://en.wikipedia.org/wiki/Gripsholms_hjorthage,error,"HTTPConnectionPool(host='nvpub.vic-metria.nu', port=80): Max retries exceeded with url: /handlingar/rest/dokument/146835 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x146ccdd60>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",,skipped
en,Template:Did you know nominations/Gripsholms hjorthage,http://nvpub.vic-metria.nu/handlingar/rest/dokument/146835,https://en.wikipedia.org/wiki/Template:Did_you_know_nominations/Gripsholms_hjorthage,error,"HTTPConnectionPool(host='nvpub.vic-metria.nu', port=80): Max retries exceeded with url: /handlingar/rest/dokument/146835 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x146ccdd60>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",,skipped
en,Talk:Jaktstuguskogen Nature Reserve,http://nvpub.vic-metria.nu/handlingar/rest/dokument/146848,https://en.wikipedia.org/wiki/Talk:Jaktstuguskogen_Nature_Reserve,error,"HTTPConnectionPool(host='nvpub.vic-metria.nu', port=80): Max retries exceeded with url: /handlingar/rest/dokument/146848 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x146ccf980>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",,skipped
en,Talk:Gripsholms hjorthage,http://nvpub.vic-metria.nu/handlingar/rest/dokument/146835,https://en.wikipedia.org/wiki/Talk:Gripsholms_hjorthage,error,"HTTPConnectionPool(host='nvpub.vic-metria.nu', port=80): Max retries exceeded with url: /handlingar/rest/dokument/146835 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x146ccdd60>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",,skipped
es,Discusión:Red Natura 2000,http://w3.vic-metria.nu/n2k/jsp/main.jsp,https://es.wikipedia.org/wiki/Discusión:Red_Natura_2000,error,"HTTPConnectionPool(host='w3.vic-metria.nu', port=80): Max retries exceeded with url: /n2k/jsp/main.jsp (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x146918f50>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",,skipped
fi,Maluri,http://nvpub.vic-metria.nu/naturvardsregistret/rest/omrade/2001000/G%C3%A4llande,https://fi.wikipedia.org/wiki/Maluri,error,"HTTPConnectionPool(host='nvpub.vic-metria.nu', port=80): Max retries exceeded with url: /naturvardsregistret/rest/omrade/2001000/G%C3%A4llande (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x146cb79b0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",,skipped
fi,Haaparannan saariston kansallispuisto,http://nvpub.vic-metria.nu/naturvardsregistret/rest/omrade/2001222/G%C3%A4llande,https://fi.wikipedia.org/wiki/Haaparannan_saariston_kansallispuisto,error,"HTTPConnectionPool(host='nvpub.vic-metria.nu', port=80): Max retries exceeded with url: /naturvardsregistret/rest/omrade/2001222/G%C3%A4llande (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x131356c30>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",,skipped
fi,Klusån,http://nvpub.vic-metria.nu/naturvardsregistret/rest/omrade/2044059/G%C3%A4llande,https://fi.wikipedia.org/wiki/Klusån,error,"HTTPConnectionPool(host='nvpub.vic-metria.nu', port=80): Max retries exceeded with url: /naturvardsregistret/rest/omrade/2044059/G%C3%A4llande (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x146cb73e0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",,skipped
fi,Djurön kansallispuisto,http://nvpub.vic-metria.nu/naturvardsregistret/rest/omrade/2001217/G%C3%A4llande,https://fi.wikipedia.org/wiki/Djurön_kansallispuisto,error,"HTTPConnectionPool(host='nvpub.vic-metria.nu', port=80): Max retries exceeded with url: /naturvardsregistret/rest/omrade/2001217/G%C3%A4llande (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x146ccf650>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known'))",,skipped
