lang_x,page_title_x,url,wiki_link_x,lang_y,page_title_y,wiki_link_y
en,Rocket.Chat,https://www.esamverka.se/download/18.4a6f5f6917d9204856518c5e/1639137082930/Digital%20collaboration%20platform%20for%20the%20public%20sector.pdf,https://en.wikipedia.org/wiki/Rocket.Chat,en,Rocket.Chat,https://en.wikipedia.org/wiki/Rocket.Chat
sv,Efterlevandeguiden,http://www.esamverka.se/vart-arbete/livshandelsedriven-utveckling.html,https://sv.wikipedia.org/wiki/Efterlevandeguiden,sv,Efterlevandeguiden,https://sv.wikipedia.org/wiki/Efterlevandeguiden
sv,Digitalisering,http://www.esamverka.se/nyheter/nyheter/2017-09-20-regeringen-vill-inratta-en-digitaliseringsmyndighet.html,https://sv.wikipedia.org/wiki/Digitalisering,sv,Myndigheten för digital förvaltning,https://sv.wikipedia.org/wiki/Myndigheten_för_digital_förvaltning
sv,Myndigheten för digital förvaltning,http://www.esamverka.se/nyheter/nyheter/2017-09-20-regeringen-vill-inratta-en-digitaliseringsmyndighet.html,https://sv.wikipedia.org/wiki/Myndigheten_för_digital_förvaltning,sv,Myndigheten för digital förvaltning,https://sv.wikipedia.org/wiki/Myndigheten_för_digital_förvaltning
sv,Myndigheten för digital förvaltning,http://esamverka.se/nyheter/nyheter/2018-08-23-samverkan-inom-esam-fortsatter-samtidigt-som-det-konkreta-samarbetet-med-digg-paborjas.html,https://sv.wikipedia.org/wiki/Myndigheten_för_digital_förvaltning,sv,Myndigheten för digital förvaltning,https://sv.wikipedia.org/wiki/Myndigheten_för_digital_förvaltning
sv,Öppen standard,http://www.esamverka.se/stod-och-vagledning/svenskt-ramverk-for-digital-samverkan.html,https://sv.wikipedia.org/wiki/Öppen_standard,sv,Öppen standard,https://sv.wikipedia.org/wiki/Öppen_standard
special,Q112773489,https://www.esamverka.se/download/18.1d126bc174ad1e6c39c925/1464273075819/Juridisk%20v%C3%A4gledning%20f%C3%B6r%20verksamhetsutveckling%20inom%20e-f%C3%B6rvaltningen%202.0.pdf,https://special.wikipedia.org/wiki/Q112773489,special,Q112773489,https://special.wikipedia.org/wiki/Q112773489
special,Q112773726,https://www.esamverka.se/,https://special.wikipedia.org/wiki/Q112773726,special,Q112773726,https://special.wikipedia.org/wiki/Q112773726
special,Q112766254,https://www.esamverka.se/download/18.1d126bc174ad1e6c39c6df/1464273265830/Riktlinjer%20f%C3%B6r%20myndigheters%20anv%C3%A4ndning%20av%20sociala%20medier%201.0.pdf,https://special.wikipedia.org/wiki/Q112766254,special,Q112766254,https://special.wikipedia.org/wiki/Q112766254
special,Q112826277,https://www.esamverka.se/download/18.1d126bc174ad1e6c39ca2b/1598298292560/eSam%20-%20V%C3%A4gledning%20E-legitimation%20och%20E-underskrift%201.1.pdf,https://special.wikipedia.org/wiki/Q112826277,special,Q112826277,https://special.wikipedia.org/wiki/Q112826277
special,Q112826278,https://www.esamverka.se/download/18.1d126bc174ad1e6c39ca4e/1464274317741/Elektroniskt%20informationsutbyte%20-%20en%20v%C3%A4gledning%20f%C3%B6r%20utl%C3%A4mnande%20i%20elektronisk%20form.pdf,https://special.wikipedia.org/wiki/Q112826278,special,Q112826278,https://special.wikipedia.org/wiki/Q112826278
special,Q112826279,https://www.esamverka.se/download/18.1d126bc174ad1e6c39c9ca/1585569119723/200303%20analysverktyg%20och%20eget%20utrymme.docx%20final.pdf,https://special.wikipedia.org/wiki/Q112826279,special,Q112826279,https://special.wikipedia.org/wiki/Q112826279
special,Q112826280,https://www.esamverka.se/download/18.1ec521a61817ffb56511acf3/1655993640430/ES2022-02%20V%C3%A4gledning%20Bed%C3%B6mning%20och%20utveckling%20av%20chattbotar.pdf,https://special.wikipedia.org/wiki/Q112826280,special,Q112826280,https://special.wikipedia.org/wiki/Q112826280
special,Q112826282,https://www.esamverka.se/download/18.2191f2561817fd04d7c4fe50/1656583717967/ES2022-04%20V%C3%A4gledning%20Designprinciper%20och%20krav%20f%C3%B6r%20eget%20utrymme.pdf,https://special.wikipedia.org/wiki/Q112826282,special,Q112826282,https://special.wikipedia.org/wiki/Q112826282
special,Q112826284,https://www.esamverka.se/download/18.2191f2561817fd04d7c4fe51/1656583735311/ES2022-07%20V%C3%A4gledning%20Innovation%20i%20en%20myndighet.pdf,https://special.wikipedia.org/wiki/Q112826284,special,Q112826284,https://special.wikipedia.org/wiki/Q112826284
special,Q112826285,https://www.esamverka.se/download/18.2191f2561817fd04d7c4fe6a/1656583867894/ES2022-01%20V%C3%A4gledning%20Pseudonymisering%20av%20personuppgifter.pdf,https://special.wikipedia.org/wiki/Q112826285,special,Q112826285,https://special.wikipedia.org/wiki/Q112826285
special,Q112826287,https://www.esamverka.se/download/18.1d126bc174ad1e6c39c9cb/1576674373880/eSam%20-%20MinaData%20v1.0.pdf,https://special.wikipedia.org/wiki/Q112826287,special,Q112826287,https://special.wikipedia.org/wiki/Q112826287
special,Q112826289,https://www.esamverka.se/download/18.1d126bc174ad1e6c39ca27/1528808442900/201706_eSam%20-%20Rapport%20-%20En%20effektiv%20informationsf%C3%B6rs%C3%B6rjning.pdf,https://special.wikipedia.org/wiki/Q112826289,special,Q112826289,https://special.wikipedia.org/wiki/Q112826289
special,Q112826292,https://www.esamverka.se/download/18.1d126bc174ad1e6c39cab6/1528807707987/201801_eSam%20-%20Rekommendation%20f%C3%B6r%20identitetsbegrepp.pdf,https://special.wikipedia.org/wiki/Q112826292,special,Q112826292,https://special.wikipedia.org/wiki/Q112826292
special,Q112826293,https://www.esamverka.se/download/18.2191f2561817fd04d7c4fe52/1656583764475/ES2022-03%20Rapport%20Samverkan%20kring%20till%C3%A4mpad%20AI.pdf,https://special.wikipedia.org/wiki/Q112826293,special,Q112826293,https://special.wikipedia.org/wiki/Q112826293
special,Q112826294,https://www.esamverka.se/download/18.74e1936a1808eb1ad123f609/1652347194550/ES2022-09%20Delning%20och%20anv%C3%A4ndning%20av%20%C3%B6ppen%20k%C3%A4llkod.pdf,https://special.wikipedia.org/wiki/Q112826294,special,Q112826294,https://special.wikipedia.org/wiki/Q112826294
