lang,page_title,url,wiki_link,status,final_url,ia_url,ia_status,reason
sv,Fiskeriverket,http://www.esv.se/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=13751,https://sv.wikipedia.org/wiki/Fiskeriverket,dead,https://www.statskontoret.se:443/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=13751,http://web.archive.org/web/20160306044416/http://www.esv.se/verktyg--stod/statsliggaren/regleringsbrev?rbid=13751,available,HTTP 404
sv,Vägverket,http://www.esv.se/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=13346,https://sv.wikipedia.org/wiki/Vägverket,dead,https://www.statskontoret.se:443/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=13346,http://web.archive.org/web/20160304090523/http://www.esv.se/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=13346,available,HTTP 404
sv,Myndigheten för kvalificerad yrkesutbildning,http://www.esv.se/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=12003,https://sv.wikipedia.org/wiki/Myndigheten_för_kvalificerad_yrkesutbildning,dead,https://www.statskontoret.se:443/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=12003,,missing,HTTP 404
sv,Rikstrafiken,http://www.esv.se/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=12851,https://sv.wikipedia.org/wiki/Rikstrafiken,dead,https://www.statskontoret.se:443/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=12851,http://web.archive.org/web/20160304112835/http://www.esv.se/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=12851,available,HTTP 404
sv,Banverket,http://www.esv.se/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=13432,https://sv.wikipedia.org/wiki/Banverket,dead,https://www.statskontoret.se:443/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=13432,http://web.archive.org/web/20160304092724/http://www.esv.se/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=13432,available,HTTP 404
sv,Kungligt brev,http://www.esv.se/,https://sv.wikipedia.org/wiki/Kungligt_brev,ok,https://www.statskontoret.se:443/,http://web.archive.org/web/20251213220353/https://www.esv.se/,available,
sv,Premiepensionsmyndigheten,http://www.esv.se/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=12439,https://sv.wikipedia.org/wiki/Premiepensionsmyndigheten,dead,https://www.statskontoret.se:443/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=12439,http://web.archive.org/web/20160305014233/http://www.esv.se/Verktyg--stod/Statsliggaren/Regleringsbrev/?RBID=12439,available,HTTP 404
sv,Gunnar Sträng,http://www.esv.se/download/18.2a6892d1128b4a69d2a80001069/ESV+2010-20.pdf,https://sv.wikipedia.org/wiki/Gunnar_Sträng,dead,http://www.esv.se/download/18.2a6892d1128b4a69d2a80001069/ESV+2010-20.pdf,http://web.archive.org/web/20150915152827/http://www.esv.se/download/18.2a6892d1128b4a69d2a80001069/ESV+2010-20.pdf,available,HTTP 404
sv,Palasso,http://www.esv.se/amnesomraden/Ramavtal-och-upphandling/Statliga-ramavtal/Lone--och-PA-system/Logica-Sverige-AB/,https://sv.wikipedia.org/wiki/Palasso,dead,https://www.statskontoret.se:443/amnesomraden/Ramavtal-och-upphandling/Statliga-ramavtal/Lone--och-PA-system/Logica-Sverige-AB/,http://web.archive.org/web/20160304113318/http://www.esv.se/amnesomraden/Ramavtal-och-upphandling/Statliga-ramavtal/Lone--och-PA-system/Logica-Sverige-AB/,available,HTTP 404
sv,Palasso,http://www.esv.se/sv/2/Press/Nyheter-och-pressmeddelanden/2013/ESV-tecknar-statligt-ramavtal-for-personalsystem-med-EVRY/,https://sv.wikipedia.org/wiki/Palasso,dead,https://www.statskontoret.se:443/sv/2/Press/Nyheter-och-pressmeddelanden/2013/ESV-tecknar-statligt-ramavtal-for-personalsystem-med-EVRY/,http://web.archive.org/web/20160304091558/http://www.esv.se/sv/2/Press/Nyheter-och-pressmeddelanden/2013/ESV-tecknar-statligt-ramavtal-for-personalsystem-med-EVRY/,available,HTTP 404
