dash_type,file,orgnr
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-1082
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-0050
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-0035
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6693
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-0829
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-3120
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2973
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-3880
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6719
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2007
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-0845
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-4342
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-1199
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-3252
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2064
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5810
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-0225
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5646
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-1710
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2957
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-1215
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-3054
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-3997
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-4904
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5315
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-4888
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-3096
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6271
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-1850
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6735
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6743
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6750
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2841
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-3211
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-4078
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2320
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2429
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2312
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2437
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2353
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2452
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2288
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2304
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2296
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2478
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2346
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2247
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2262
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2254
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2395
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2460
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2445
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2411
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2361
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2403
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2270
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-4920
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6347
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5174
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2163
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-4524
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5091
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6875
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5588
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6883
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-4169
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6404
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-7014
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5984
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5141
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-3591
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6164
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-7055
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-1173
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6412
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6230
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2916
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-1108
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-1124
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-1975
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2726
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6032
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-4144
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6933
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5786
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6206
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6776
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2072
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6370
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6255
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-4060
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-0076
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-4359
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-3831
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-4805
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-1090
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-1074
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2635
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6784
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2585
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6008
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6016
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-4227
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-4631
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-4573
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-4789
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5901
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5448
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5869
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5612
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6602
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5729
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-0555
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5745
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-3310
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5836
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-4417
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-3427
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5000
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-4474
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-0464
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-0712
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-3260
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-4953
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6214
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-4508
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-4151
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-1033
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-1280
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-1132
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5075
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-3666
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5778
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6453
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5828
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6065
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-4185
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5851
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-0928
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-1868
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-0704
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-4763
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-0837
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-0852
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6560
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-3062
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5737
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-3815
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6800
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5224
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6818
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-4961
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5331
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-3583
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2528
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2817
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-0696
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5703
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6594
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-4896
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5364
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6149
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5182
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-4771
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6305
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6297
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6099
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-0969
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2874
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6487
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6495
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6610
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2932
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-7071
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6826
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5281
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5216
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5208
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-0084
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-2924
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5463
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-4375
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-6024
ASCII hyphen (U+002D),myndighetsreg/Statliga förvaltningsmyndigheter.txt,202100-5273
ASCII hyphen (U+002D),myndighetsreg/AP-fonder.txt,802005-7538
ASCII hyphen (U+002D),myndighetsreg/AP-fonder.txt,857209-0606
ASCII hyphen (U+002D),myndighetsreg/AP-fonder.txt,802014-4120
ASCII hyphen (U+002D),myndighetsreg/AP-fonder.txt,802005-1952
ASCII hyphen (U+002D),myndighetsreg/AP-fonder.txt,855104-0721
ASCII hyphen (U+002D),myndighetsreg/AP-fonder.txt,802406-2302
